Date,Open,High,Low,Close,Adj Close,Volume
2019-09-30,1394.050048828125,1416.0,1387.050048828125,1394.9000244140625,1296.810791015625,295143
2019-10-01,1415.0,1415.0,1338.050048828125,1349.6500244140625,1254.74267578125,314752
2019-10-03,1358.0999755859375,1380.0,1343.050048828125,1368.0,1271.8023681640625,268527
2019-10-04,1368.0,1387.0,1346.3499755859375,1380.0,1282.95849609375,330709
2019-10-07,1383.449951171875,1393.0,1357.199951171875,1384.5999755859375,1287.23486328125,184904
2019-10-09,1381.0,1389.0999755859375,1360.1500244140625,1373.3499755859375,1276.7763671875,177260
2019-10-10,1357.5,1381.75,1351.0,1361.0999755859375,1265.38720703125,152606
2019-10-11,1355.0,1417.5999755859375,1350.800048828125,1412.0999755859375,1312.8011474609375,397760
2019-10-14,1410.0,1415.0,1390.0,1396.5,1298.2979736328125,203559
2019-10-15,1394.0,1438.75,1392.0,1424.699951171875,1324.51513671875,403985
2019-10-16,1433.0,1434.949951171875,1401.550048828125,1409.5,1310.38427734375,300018
2019-10-17,1413.0,1419.800048828125,1395.699951171875,1406.699951171875,1307.78076171875,114889
2019-10-18,1415.5,1450.0,1397.699951171875,1436.550048828125,1335.5322265625,277477
2019-10-22,1436.550048828125,1469.9000244140625,1416.0,1452.199951171875,1350.08154296875,299087
2019-10-23,1451.0,1476.449951171875,1427.5,1468.6500244140625,1365.374755859375,452349
2019-10-24,1490.0,1529.199951171875,1425.6500244140625,1491.5999755859375,1386.710693359375,1055221
2019-10-25,1485.0,1519.5,1467.5,1505.1500244140625,1399.3077392578125,382090
2019-10-27,1500.3499755859375,1528.8499755859375,1492.300048828125,1506.0999755859375,1400.191162109375,29696
2019-10-29,1490.0,1526.8499755859375,1490.0,1517.3499755859375,1410.650146484375,268871
2019-10-30,1518.0,1586.949951171875,1515.800048828125,1578.1500244140625,1467.1746826171875,537234
2019-10-31,1587.0,1590.9000244140625,1543.449951171875,1548.699951171875,1439.795166015625,717384
2019-11-01,1553.0,1561.1500244140625,1525.8499755859375,1558.75,1449.1387939453125,367674
2019-11-04,1553.4000244140625,1595.5,1538.199951171875,1586.75,1484.6947021484375,336654
2019-11-05,1585.0999755859375,1586.699951171875,1556.449951171875,1559.3499755859375,1459.0570068359375,109969
2019-11-06,1559.3499755859375,1576.5,1547.449951171875,1566.4000244140625,1465.653564453125,91192
2019-11-07,1566.3499755859375,1579.449951171875,1560.0,1574.0,1472.7646484375,101781
2019-11-08,1570.0,1588.0,1534.949951171875,1540.4000244140625,1441.32568359375,123434
2019-11-11,1530.0,1594.75,1530.0,1572.6500244140625,1471.50146484375,231176
2019-11-13,1573.0,1578.199951171875,1479.050048828125,1483.199951171875,1387.804443359375,349897
2019-11-14,1487.0,1509.800048828125,1465.800048828125,1504.699951171875,1407.9222412109375,296070
2019-11-15,1510.0,1520.0,1473.800048828125,1491.0999755859375,1395.1964111328125,161514
2019-11-18,1480.0,1527.5,1477.5,1519.0999755859375,1421.3956298828125,198031
2019-11-19,1519.5,1535.949951171875,1509.75,1529.0,1430.658935546875,116406
